Author,Date,Status,Funnel,Title,URL,Max Keywords Volume,Keywords,FAQ,Topic Cluster,Notes
Outsource,1/Jan/24,Published,TOF post,Grant proposal cover letter for afterschool programs,,480,grant proposal cover letter (480 US),,,Hisawyer ranking 3
,1/Jan/24,Published,BOF post,Top 10 Class Booking Systems (2024 Update),,,,,,
,1/Jan/24,Published,BOF post,12 Best Online Booking Systems for Small Businesses in 2024,,,,,,
,27/Jan/24,Published,Landing Page,Landing Page: After School Program Software,,,"afterschool program software (90)
Afterschool program management software (40)
(20)",,,
,4/Feb/24,Published,Alternative page,MindBody Alternatives,,,,,,
Brad,1/Feb/24,Published,BOF post,How to make a booking website with SquareSpace,,,squarespace booking system 90,,,
Brad,1/Feb/24,Published,BOF post,Top software to track class attendance,,,software to track class payments and attendance 135,,,
,1/Feb/24,Published,Landing Page,Landing Page: Summer Camp Registration Software,,50,"Camp registration software (50)
summer camp registration software (50)
sports camp registration software        20
online camp registration systems        30",,,
,1/Mar/24,Published,Landing Page,Landing Page: Dance Studio Software,,720,"Dance Studio Software 720
dance studio manager        140
dance school software        150
dance studio management software        40
best dance studio software        70 Global
dance studio management software free        40        
dance studio software comparison        20        ",,,
,1/Mar/24,Published,Alternative page,Jumbula Alternatives,,,,,,
Brad,1/Mar/24,Published,MOF post,How to start a summer camp,,320,"how to start a summer camp (320)
Do summer camps need to be licensed? 210/month","Are summer camps tax deductible?
Do summer camps need to be licensed?",,Hisawyer ranking 4
Brad,1/Apr/24,Published,Compare,Mindbody vs. Glofox,,140,Mindbody vs. Glofox (140 per month),,,
,1/Apr/24,Published,Alternative page,Sawyer Alterntaives,,,,,,https://www.hisawyer.com/for-business
,1/Apr/24,Published,BOF post,Top 5 Best Squarespace Booking Systems,,,"squarespace booking        590
squarespace scheduling app 110
squarespace online booking 50",,,
,1/Apr/24,Published,TOF post,Summer camp curriculum,,170,"summer camp curriculum (170 US)
summer camp lesson plan template (50 US)",,,Hisawyer ranking 1
,1/May/24,Published,Landing Page,Martial Arts Software,,320,martial arts software (320),,,
Brad,1/May/24,Published,BOF post,google calendar booking system,,880,"google booking system Volume: 880/mo
google calendar booking system Volume: 880/mo
google forms booking system Volume: 260/mo
google calendar appointment slots multiple attendees Volume: 260/mo","Can I use Google Calendar as a booking system?
Does Google have a free booking app?
Can you use Google Calendar as a booking system?
Can you create multiple appointment slots in Google Calendar?
",,
,1/Jun/24,Published,Landing Page,Forest school booking software,,,,,,
,1/Jun/24,Published,Feature deepdive,Automatic class rosters,,,"class rosters Volume: 86/mo
attendance software	1,900
school attendance software	260",,,
Brad,1/Jun/24,Published,BOF post,"
stripe booking system",,170,stripe booking system Volume: 170/mo,,,
Brad,1/Jul/24,Published,BOF post,best dance studio software,,,best dance studio software	110,,,
Brad,1/Aug/24,Published,Landing Page,Gymnastics Club Management Software,,80,"gymnastics software	80
gymnastics management software	50
gymnastics class management software	40
gymnastics club software	30
gymnastics club management software	30
gymnastics class software	20",,,
SEOBOT,1/Aug/24,Published,TOF post,10 Benefits of Online Booking Systems for Class Management,,,,,,
SEOBOT,1/Aug/24,Published,TOF post,Summer camp social media ideas,,70,Summer camp social media ideas 70,,,
SEOBOT,1/Aug/24,Published,TOF post,Summer Camp Activities,,,,,,
Brad,1/Sep/24,Published,Landing Page,Performing Arts Management Software,,30,"performing arts management software        30
performing arts software        20",,,
GPT,1/Sep/24,Published,TOF post,dance registration form,,,"dance registration form 60
dance registration form template 20
dance studio registration form 20",,,
GPT,1/Sep/24,Published,TOF post,how to open a dance studio,,,"how to open a dance studio 70
How to start a dance school 10",what licenses are needed to start a dance studio,,
Brad,20/Oct/24,Published,BOF post,Top 5 best class scheduling software,,,class scheduling software 700,,,
GPT,9/Nov/24,Published,TOF post,how to start a martial arts school,,,how to start a martial arts school 20,,,
GPT,15/Nov/24,Published,BOF post,How to Add a Booking System to a GoDaddy Website,,90,"booking and reservation system godaddy website 28
godaddy booking system 90",,,
,24/Nov/24,Published,Feature deepdive,Waitlist software,,400,"waitlist software 400
waitlist management software 300",,,
GPT,13/Dec/24,Published,BOF post,how to add a booking system to my website,,30,"how to add a booking system to my website 30
how to add an online booking system to your website 10
booking system iframe 20",,,
Brad,4/Jan/25,Published,TOF post,How to sell more class packs,,10,How to sell more class packs. 10,,,
GPT,1/Nov/25,Published,Compare,acuity vs calendly,,350,acuity vs calendly 350,,,
,18/Jan/25,Published,Feature deepdive,check in and attendance tracker,,70,"attendance tracker 6K
attendance tracking software 2K
attendance check in 50
attendance check in check out 10",,,
Brad,2/Jan/25,Published,Compare,momence vs mindbody,,170,momence vs mindbody 170/mo,,,
GPT,2/Apr/25,Published,BOF post,wordpress booking plugin with payment,,200,wordpress booking plugin with payment 200,,,
GPT,2/Jul/25,Published,TOF post,what does enrichment mean in school,,700,"what is enrichment in school 700
what does enrichment mean in school 300",,,
GPT,2/Oct/25,Published,TOF post,cooking class registration form,,40,cooking class registration form 40,,,
GPT,14/Feb/25,Published,TOF post,summer camp registration form,,600,"summer camp registration form 600
summer camp registration form template 80
day camp registration form 50
editable summer camp registration form template 70",,,
Brad,2/Mar/25,Published,BOF post,Top 5 best online booking and payment system (2025 Update),,500,"online booking and payment system 500
booking and payment software 200
booking and payment system 250
booking system with payment 200
booking software with payment 200
online booking payment system 200 
online booking system with payment 90",,,
GPT DeepResearch,,Published,BOF post,best alternative to calendly,,,alternative to calendly 700,,,
Brad,28/3/2025,Published,BOF post,facebook booking system,,100,"facebook booking system 100
booking system for instagram 20",,,
GPT,1/Apr/25,Published,TOF post,5 Appointment and Class Cancellation and Refund Policy Examples,,590,"
cancellation policy example Volume: 590/mo 
cancellation fee example 150
appointment cancellation policy example 70",,,
GPT,13/Apr/25,Published,TOF post,summer camp activities for kids,,500,summer camp activities for kids 500,,,
Brad,27/Apr/25,Published,BOF post,Top 5 best class registration software,,900,class registration software 900,,,
,27/Apr/25,Published,Landing Page,training management software,,4200,"training management software 4200
learning management software 4100
training management system 1900",,,
GPT,1/May/25,Published,TOF post,indoor summer camp activities schedule,,100,"indoor summer camp activities 100
indoor summer camp activities schedule 60",,,
GPT,18/May/25,Published,TOF post,summer camp lunch ideas,,300,summer camp lunch ideas 300,,,
GPT,25/May/25,Published,TOF post,summer camp ice breakers,,50,summer camp ice breakers 50,,,
Brad,31/May/25,Published,BOF post,Top 5 best training management software,,4200,"training management software 4200
learning management software 4100
training management system 1900",,,
GPT,13/Jun/25,Published,TOF post,50 after school program activities ideas,,500,"after school program activities 500
after school program ideas 400
after-school programs examples 200
after school program activities for elementary students 50",,,
GPT,6/Jul/25,Published,TOF post,tennis drills for beginners,,600,tennis drills for beginners 600,,,
GPT,18/Jul/25,Published,TOF post,"after school program names
",,100,"after school program names 100
",,,
Brad,28/Jul/25,Published,BOF post,Top X Best Wix Booking System,,800,"wix booking system 800
wix booking app 150",,,
GPT,9/Aug/25,Published,TOF post,how to start a forest school,,80,"how to start a forest school 80
how to start a nature school 70",,,
GPT,20/Aug/25,Published,TOF post,Forest School Curriculum and Resources,,150,"forest school curriculum 400
forest school resources 150",,,
Brad,1/Sep/25,Published,BOF post,Top X Best Sports Registration Software,,300,"sports registration software 300
sports club software 200",,,
GPT,12/Sep/25,Published,TOF post,tennis drills for kids,,300,tennis drills for kids 300,,,
Brad,20/Sep/25,Published,BOF post,Top X Best Music School Management Software,,250,"music school management software 250
music lesson scheduling software 200",,,
GPT,11/Oct/25,Published,TOF post,dance studio marketing,,150,"dance studio marketing 150
dance studio advertising ideas 20",,,
GPT,13/Oct/25,Published,TOF post,Spooky Campfire Ghost Stories for Halloween,,,"campfire ghost stories 450
spooky campfire stories 300",,,
Brad,2/Nov/25,Published,BOF post,Top X Arts Class Registration Software,,90,art class registration software 90,,,
GPT,15/Nov/25,Published,TOF post,dance team fundraising ideas,,250,dance team fundraising ideas 250,,,
Brad,22/Nov/25,Published,Compare,mindbody vs vagaro,,110,mindbody vs vagaro (110 per month),,,
Allyn,30/Nov/25,Published,Alternative page,bookwhen alternatives,,90,bookwhen alternatives 90,,,
GPT,5/Dec/25,Published,TOF post,martial arts business plan,,70,martial arts business plan 70,,,
GPT,12/Dec/25,Published,TOF post,workshop registration form template,,400,"workshop registration form 400
google forms for event registration ",,,
Brad,22/Dec/25,Published,Compare,mindbody vs classpass,,70,mindbody vs classpass (70 per month),,,
GPT,5/Jan/26,Published,TOF post,field trip permission slip,,1300,"field trip permission slip 1300
field trip form 600",,,
GPT,14/Jan/26,Published,TOF post,Fun camp games for kids,,1200,"Camp games 1200
camp games for kids 600",,,
Brad,22/Jan/26,Published,BOF post,Top X Best martial arts software,,40,best martial arts software 40,,,
GPT,26/Jan/26,Published,TOF post,field trip ideas for summer camp,,150,field trip ideas for summer camp,,,
Brad,22/Feb/26,,Compare,wellness living vs mindbody,,80,wellness living vs mindbody (80),,,
GPT,,,TOF post,things to do while camping at night,,70,things to do while camping at night,,,
,,,,best platforms for managing summer camp waitlists,,10,,,,
,,,,tools for managing waitlists and enrollments,,10,"tools for managing waitlists and enrollments 10
best solutions for managing group class waitlists 10",,,
Brad,22/Mar/26,,BOF post,Top X best swim school software,,500,swim school software 500,,,
Brad,22/Apr/26,,BOF post,top X best yoga class booking system,,400,"yoga class booking system 400
yoga studio booking software 150",,,
Brad,22/May/26,,BOF post,top X best pilates booking system,,350,Pilates booking software 350,,,
GPT,,,TOF post,when can kids start gymnastics,,150,what age to start gymnastics,,,
,,,,budget for summer camp,,,,,,
,,,,afterschool schedule template,,20,,,,
,,,,musical theatre lesson plans,,20,,,,
,,,,,,30,summer camp safety 30,,,
GPT,,,TOF post,summer camp management tips and ideas,,150,summer camp management,,,
GPT,,,TOF post,sunday school games without materials,,350,sunday school games without materials  350,,,
GPT,,,TOF post,basketball tryout registration form,,50,basketball tryout registration form 50,,,
GPT,,,TOF post,yoga student registration form,,30,yoga student registration form 30,,,
GPT,,,TOF post,fundraising ideas for teens,,250,fundraising ideas for teens 250,,,
,,,TOF post,fitness class registration form,,70,fitness class registration form 70,,,
GPT,,,TOF post,X Commonly Used Class Registration Forms and Templates,,300,"Class Registration Form 300
Combine all templates together",,,
GPT,,,TOF post,dance studio business plan,,70,dance studio business plan 70,,,
GPT,,,TOF post,preschool summer camp themes,,90,preschool summer camp themes 90,,,
GPT,,,TOF post,Summer camp insurance,,100,Summer camp insurance 100,,,
GPT,,,TOF post,Why should you switch to paperless sign-in sheets for after-school programs,,10,paperless sign in sheet (10),,,
GPT,,,TOF post,booking form template,,,"booking form template 50
booking form 150 (super difficult to rank)",,,
GPT,,,TOF post,Incorporating Mindfulness and Meditation into After School Activities,,1300,"mindfulness activities for teens (1300)
mindfulness activities for classroom (140)",,,
GPT,,,TOF post,"Innovative Art Therapy Activities for Teens, Youth and Children with Special Needs",,720,"Art therapy activities (2400 US) - too broad
art therapy activities for teens (720 US)
therapeutic art activities for youth (110 US)
art therapy activities for autism (50 US)
Art therapy activities for special needs (20/mo)",,,
GPT,,,TOF post,Crafting a Lesson Plan for Virtual Drama Classes: Ensuring Engagement in a Digital Environment,,10,Teaching Drama Online Volume: 10/mo,,,
GPT,,,TOF post,The Rise of Virtual Cooking Classes: Tips for Transitioning Online,,10,"How to teach cooking classes online? Volume: 10/month
how to host a cooking class at home? Volume: 10/month",,,
,,,Landing Page,Swim school software,,400,swim school software 400,,,
,,,Landing Page,music school management software,,250," music school management software 250
",,,
,,,Feature deepdive,,,,website builder with booking system 350,,,
,,,BOF post,top 5 training tracking software,,900,"
training tracking software 900",,,
,,,Alternative page,Arlo Alternatives,,,,,,
,,,,online class registration tool,,,online class registration tool 150,,,
,,,TOF post,cheerleading registration form template,,30,cheerleading registration form template 30,,,
,,,BOF post,top 5 best squarespace booking plugin (check the existing blog page),,100,squarespace booking plugin 100,,,
,,,TOF post,how to build a wordpress registration form with payment,,100,wordpress registration form with payment 100,,,
,,,TOF post,sell services online,,,sell services online 750,,,paper bell
,,,Feature deepdive,facebook/ instagram booking system,,100,"instagram booking system 100
facebook book now 20
how to make a booking website on instagram 30",,,
,,,Feature deepdive,Custom digital intake forms,,110,digital intake forms Volume: 110/mo,,,
,,,TOF post,martial arts studio advertising ideas,,,,,,
,,,TOF post,How much does it cost to open a martial arts school,,,,,,
,,,,best childcare management software,,,,,,
,,,,best recurring billing software,,,,,,
,,,,best online registration software,,,,,,
,,,,Alternatives to Jackrabbit,,,,,,
Brad??,,,BOF post,shopify booking app,,590,"
shopify booking app Volume: 590/mo",does shopify have a booking system,,
,,,Landing Page,Multi-sport Booking & Management Software,,,,,,
,,,Landing Page,Kids Activity Booking Software,,,,,,
,,,Landing Page,Class booking and payment system,,,booking and payment system Volume: 210/mo,,,
,,,Feature deepdive,Flexible payment options,,110,online booking system with payment Volume: 110/mo,,,
,,,Feature deepdive,Cancellation policy Managing Cancellations and Refunds,,,,,,https://gymcatch.com/2022/07/07/whats-important-in-your-cancellation-policy/
,,,Feature deepdive,Booking management,,,,,,
,,,Compare,google appointment scheduling vs calendly,,170,170 per month,,,
,,,Compare,mindbody vs acuity scheduling,,10,mindbody vs acuity scheduling	10,,,
,,,Compare,Vix bookings vs calendly,,,,,,
,,,Compare,ticketleap vs eventbrite,,110,ticketleap vs eventbrite (110 US),,,
,,,Compare,cvent vs eventbrite,,70,cvent vs eventbrite (70 US),,,
,,,Compare,Microsoft Bookings vs Calendly,,800,"microsoft bookings vs calendly (800)
microsoft calendly alternative (110 per month)",Does Microsoft have something like Calendly?,,
,,,,,,,,,,
,,,BOF Ideas,How to Choose the Best Online Booking System for Your Small Business,,,,,,
,,,BOF Ideas,The Role of a Booking System in Streamlining Operations for Small Businesses,,,,,,
